epoch,lr,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5,best_test_top1,epoch_time_sec
44,0.1,1.370176466293335,61.246,88.242,2.0063145179748534,49.31,78.65,52.62,71.31184792518616
45,0.1,1.3634065716552735,61.242,88.398,1.8326265453338624,50.75,80.83,52.62,71.30255627632141
46,0.1,1.367420569229126,61.056,88.576,1.9218572761535644,50.05,80.46,52.62,71.291836977005
47,0.1,1.3710407167816163,60.992,88.442,2.223721872329712,46.03,76.83,52.62,72.0865547657013
48,0.1,1.3654487503814696,61.12,88.64,1.8319887210845947,52.08,81.86,52.62,71.2232756614685
49,0.1,1.3634274332427978,60.884,88.434,1.7557341274261475,52.79,81.97,52.79,71.53080296516418
50,0.1,1.361187110519409,61.028,88.62,2.546079808044434,43.08,72.71,52.79,71.12845206260681
51,0.1,1.3560483716583251,61.23,88.71,2.079477177810669,48.7,78.51,52.79,71.3159568309784
52,0.1,1.349756809463501,61.52,88.616,1.9606957250595092,48.95,78.92,52.79,71.31536221504211
53,0.1,1.3511646292877197,61.438,88.736,2.095772144317627,48.06,77.73,52.79,71.3200581073761
54,0.1,1.35025719455719,61.35,88.668,1.9542963724136353,48.81,80.2,52.79,71.94392204284668
55,0.1,1.3426617876434326,61.79,88.804,1.8970915315628052,50.62,80.5,52.79,71.18739414215088
56,0.1,1.3407502249908447,61.602,88.832,1.83034993724823,50.99,80.96,52.79,71.18088293075562
57,0.1,1.3489530685424804,61.43,88.646,1.8680028755187987,50.91,80.44,52.79,71.2185378074646
58,0.1,1.3431228791809082,61.704,88.848,1.9561196826934815,49.7,80.59,52.79,71.30551099777222
59,0.1,1.3377234035110475,61.814,88.888,2.06214045753479,48.29,78.5,52.79,71.47442197799683
60,0.1,1.3322846214675903,62.082,88.83,2.156102575683594,47.5,78.29,52.79,71.28481316566467
61,0.1,1.3372299216842651,61.904,88.89,1.7856315452575684,52.77,81.42,52.79,71.24668073654175
