epoch,lr,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5,best_test_top1,epoch_time_sec
27,0.1,1.6493903559112548,53.79,84.282,2.0329773460388183,45.94,77.74,47.64,16.87762999534607
28,0.1,1.6508123246002198,53.75,84.108,2.2981230396270753,42.49,73.34,47.64,17.236942052841187
29,0.1,1.6430341751861572,53.84,84.384,2.367878747558594,41.38,71.66,47.64,16.512333154678345
30,0.1,1.6318512125015259,54.146,84.5,2.3287091369628907,42.3,73.2,47.64,16.024028778076172
31,0.1,1.6267661239242555,54.758,84.394,2.06055062789917,46.34,77.51,47.64,16.02969193458557
32,0.1,1.6245619161605835,54.318,84.686,2.191939385223389,43.83,74.74,47.64,16.085113048553467
33,0.1,1.6145295679092406,54.548,84.624,2.0510531156539917,46.76,77.53,47.64,16.033232927322388
34,0.1,1.6101200064468384,54.786,84.766,2.0336644004821776,46.12,78.19,47.64,16.051084995269775
35,0.1,1.6067292764282226,54.902,84.768,2.052219578552246,47.55,77.62,47.64,16.014230966567993
36,0.1,1.6046085724639894,54.962,85.084,2.623208002471924,39.46,74.09,47.64,16.018280029296875
37,0.1,1.598153003540039,55.224,85.008,2.011394910430908,47.05,78.19,47.64,16.020416975021362
38,0.1,1.5992020030975342,55.108,84.986,2.306282141304016,42.35,73.56,47.64,16.0380220413208
39,0.1,1.5880434390258789,55.404,85.11,2.000860888671875,46.9,78.95,47.64,16.018025875091553
40,0.1,1.5876593356704711,55.33,85.092,2.038661170196533,46.36,77.47,47.64,16.02257490158081
41,0.1,1.5857990997314453,55.316,85.14,2.126783097076416,44.94,77.16,47.64,16.040058135986328
42,0.1,1.578626563873291,55.602,85.358,1.9445165565490723,48.52,79.03,48.52,16.082067012786865
43,0.1,1.5763126175689697,55.67,85.368,1.9623681930541992,48.16,79.04,48.52,16.009697198867798
44,0.1,1.579279540939331,55.672,85.244,2.0338793422698975,46.51,76.92,48.52,16.56744909286499
45,0.1,1.5792730435180664,55.564,85.164,2.118153377342224,45.49,76.96,48.52,17.10862898826599
46,0.1,1.5854450650024414,55.472,85.242,2.320860687446594,41.84,72.1,48.52,18.239134073257446
47,0.1,1.5737063474273683,55.696,85.47,1.9831047080993653,47.04,78.85,48.52,17.10903787612915
48,0.1,1.5640163145828248,55.904,85.584,2.455552083969116,40.89,72.95,48.52,16.85710096359253
49,0.1,1.5731783532714845,55.874,85.416,2.2127878358840944,43.78,75.25,48.52,16.286237955093384
50,0.1,1.56490903465271,55.81,85.392,2.129576679611206,46.24,77.9,48.52,16.526934146881104
51,0.1,1.5624762425613403,55.896,85.622,2.1510391876220702,46.31,75.8,48.52,16.886807680130005
52,0.1,1.5619001068115235,55.952,85.726,2.1343880500793455,45.01,76.67,48.52,16.282865285873413
53,0.1,1.5477048987197877,56.104,85.926,2.009775311279297,47.59,79.1,48.52,17.11808204650879
54,0.1,1.553649263381958,56.214,85.67,2.1402218017578125,46.4,78.14,48.52,16.2848539352417
55,0.1,1.552083864212036,56.352,85.712,1.9606076354980468,48.46,79.13,48.52,16.201370000839233
56,0.1,1.5500207260513306,56.212,85.71,1.8780050380706788,49.38,80.97,49.38,16.19716787338257
57,0.1,1.5429121504592895,56.372,85.766,1.8980994903564452,49.16,79.51,49.38,16.144567012786865
58,0.1,1.5566799843597412,55.98,85.678,1.9013177890777588,49.18,80.03,49.38,16.272018909454346
59,0.1,1.5476914408111573,56.504,85.79,2.1434434471130372,44.68,76.19,49.38,16.387240886688232
60,0.010000000000000002,1.5458154262542725,56.17,85.844,2.2244464347839354,45.46,76.26,49.38,16.329097986221313
61,0.010000000000000002,1.163268766822815,66.922,91.208,1.2322718868255615,64.0,89.89,64.0,16.275279998779297
